name,Agr,Asc,Art,Bel,Bus,Chr,Cul,Edu,Env,Geo,Hea,His,Hum,Lan,Law,Lif,Mat,Nat,Peo,Pol,Sci,Soc,Tec
linked-life-data,0.04,0.01,0.01,0.03,0.22,0.0,0.08,0.04,0.35,0.05,0.21,0.0,0.04,0.0,0.0,0.12,0.0,0.63,0.0,0.02,0.54,0.25,0.07
statusnet-coreyavis-com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.45,0.45,0.0
rkb-explorer-wordnet,0.02,0.0,0.07,0.06,0.05,0.06,0.25,0.09,0.26,0.08,0.13,0.05,0.19,0.02,0.05,0.43,0.04,0.53,0.0,0.05,0.38,0.4,0.05
eagle-i-hawaii,0.27,0.01,0.01,0.05,0.01,0.02,0.15,0.09,0.39,0.22,0.01,0.01,0.03,0.07,0.0,0.4,0.03,0.53,0.0,0.0,0.43,0.26,0.04
fao-linked-data,0.02,0.0,0.0,0.01,0.06,0.05,0.2,0.03,0.42,0.12,0.03,0.03,0.06,0.03,0.01,0.46,0.01,0.58,0.0,0.01,0.32,0.3,0.06
people-kmi-open-ac-uk,0.0,0.05,0.0,0.0,0.0,0.09,0.09,0.0,0.37,0.18,0.0,0.0,0.18,0.0,0.0,0.41,0.14,0.46,0.0,0.0,0.5,0.37,0.0
animal-diversity-web,0.14,0.01,0.02,0.06,0.02,0.02,0.21,0.17,0.3,0.19,0.0,0.0,0.08,0.03,0.01,0.35,0.06,0.54,0.0,0.02,0.47,0.35,0.06
mlsa,0.13,0.01,0.04,0.06,0.07,0.04,0.26,0.08,0.36,0.16,0.01,0.0,0.14,0.05,0.01,0.31,0.04,0.58,0.0,0.05,0.37,0.37,0.14
lista-encabezamientos-materia,0.13,0.0,0.01,0.03,0.03,0.04,0.19,0.04,0.42,0.18,0.04,0.02,0.1,0.02,0.01,0.42,0.02,0.54,0.0,0.01,0.4,0.31,0.06
biosamples-rdf,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.0,0.47,0.13,0.0,0.0,0.04,0.01,0.0,0.44,0.0,0.52,0.0,0.0,0.49,0.19,0.09
